Tabela de observabilidade - Troianos - IAG


Iluninação da lua: 53.3 %


--------------------------------------------------------------------------------------------------------------------------------------------------------


Objeto                           |  mag  | 18:00 | 19:00 | 20:00 | 21:00 | 22:00 | 23:00 | 00:00 | 01:00 | 02:00 | 03:00 | 04:00 | 05:00 | 06:00 |
---------------------------------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+
624 Hektor (A907 CF)             |  14.4 |       |  35.5 |  49.1 |  62.1 |  72.7 |  74.5 |  65.5 |  52.9 |  39.4 |       |       |       |       |
911 Agamemnon (A919 FB)          |  15.2 |       |  40.4 |  53.8 |  66.1 |  74.2 |  71.4 |  60.6 |  47.6 |       |       |       |       |       |
588 Achilles (A906 DN)           |  15.3 |       |       |  40.9 |  54.8 |  68.5 |  80.9 |  79.7 |  67.0 |  53.2 |  39.3 |       |       |       |
1437 Diomedes (1937 PB)          |  15.4 |       |       |  35.7 |  48.2 |  60.5 |  71.9 |  78.7 |  73.3 |  62.1 |  49.8 |  37.3 |       |       |
3063 Makhaon (1983 PV)           |  15.5 |       |       |  48.3 |  62.2 |  75.8 |  84.4 |  73.8 |  60.2 |  46.3 |       |       |       |       |
1143 Odysseus (1930 BH)          |  15.5 |       |  39.4 |  51.5 |  61.2 |  65.3 |  61.3 |  51.7 |  39.6 |       |       |       |       |       |
3793 Leonteus (1985 TE3)         |  15.7 |       |       |  38.9 |  52.4 |  65.1 |  74.3 |  72.9 |  62.5 |  49.6 |  36.0 |       |       |       |
1583 Antilochus (1950 SA)        |  15.7 |       |       |  37.9 |  51.7 |  65.5 |  79.4 |  86.0 |  72.4 |  58.5 |  44.6 |       |       |       |
4063 Euforbo (1989 CG2)          |  16.0 |       |       |       |       |  39.8 |  47.8 |  51.5 |  49.8 |  43.2 |       |       |       |       |
319 Leona (A891 TA)              |  16.1 |       |       |       |       |  38.3 |  51.9 |  64.7 |  74.3 |  73.5 |  63.3 |  50.4 |  36.7 |       |
659 Nestor (A908 FE)             |  16.4 |       |  40.9 |  51.2 |  58.0 |  58.7 |  53.0 |  43.1 |       |       |       |       |       |       |
3451 Mentor (1984 HA1)           |  16.5 |  49.9 |  37.3 |       |       |       |       |       |       |       |       |       |       |       |
3317 Paris (1984 KF)             |  16.7 |  42.4 |       |       |       |       |       |       |       |       |       |       |       |       |
3548 Eurybates (1973 SO)         |  16.9 |       |       |       |  39.3 |  52.6 |  64.6 |  72.3 |  69.9 |  59.7 |  47.0 |       |       |       |
136472 Makemake (2005 FY9)       |  17.0 |       |       |       |       |  35.3 |  42.8 |  46.4 |  45.3 |  39.7 |       |       |       |       |
2363 Cebriones (1977 TJ3)        |  17.1 |  37.6 |       |       |       |       |       |       |       |       |       |       |       |       |
21900 Orus (1999 VQ10)           |  17.2 |       |  42.3 |  55.6 |  67.3 |  73.8 |  69.2 |  58.0 |  45.0 |       |       |       |       |       |
15440 Eioneus (1998 WX4)         |  17.2 |       |       |       |  35.7 |  35.7 |       |       |       |       |       |       |       |       |
136108 Haumea (2003 EL61)        |  17.2 |       |       |       |       |       |  37.4 |  46.6 |  52.2 |  52.4 |  47.3 |  38.3 |       |       |
4501 Eurypylos (1989 CJ3)        |  17.6 |       |       |  40.0 |  53.8 |  67.2 |  78.2 |  77.0 |  65.4 |  51.9 |  38.1 |       |       |       |
12929 Periboea (1999 TZ1)        |  18.1 |  41.1 |       |       |       |       |       |       |       |       |       |       |       |       |
11351 Leucus (1997 TS25)         |  18.2 |       |       |  43.5 |  57.4 |  71.0 |  82.4 |  77.4 |  64.3 |  50.5 |  36.6 |       |       |       |
468861 (2013 LU28)               |  18.5 |  44.3 |  36.2 |       |       |       |       |       |       |       |       |       |       |       |
50000 Quaoar (2002 LM60)         |  18.9 |       |       |       |       |       |       |       |       |  37.5 |  51.3 |  65.1 |  77.8 |  81.0 |
15094 Polymele (1999 WB2)        |  19.0 |       |       |       |  36.2 |  49.2 |  60.8 |  68.4 |  67.5 |  58.8 |  46.8 |       |       |       |
90482 Orcus (2004 DW)            |  19.0 |  39.8 |  53.7 |  67.2 |  78.9 |  78.4 |  66.4 |  52.9 |  39.0 |       |       |       |       |       |
447178 (2005 RO43)               |  19.2 |  78.2 |  79.7 |  68.1 |  54.5 |  40.7 |       |       |       |       |       |       |       |       |
32532 Thereus (2001 PT13)        |  19.4 |       |       |  39.9 |  53.6 |  66.4 |  75.9 |  74.0 |  63.0 |  49.8 |  36.1 |       |       |       |
10199 Chariklo (1997 CU26)       |  19.4 |       |       |       |       |       |       |       |       |       |       |       |  37.0 |  50.3 |
30505 (2000 RW82)                |  19.4 |  35.4 |       |       |       |       |       |       |       |       |       |       |       |       |
